area,people,day,hour,consumption
222,77,5,21,297.1758620708129
97,53,6,16,201.7451649041846
167,79,1,8,250.07224056784614
242,16,0,1,159.37659429158109
373,21,4,17,253.44172305018208
301,59,1,16,295.57850766291784
245,24,6,3,186.83788681874697
409,80,5,8,372.52200114862404
59,14,5,20,84.74100068614531
261,86,3,4,301.6745367452116
327,49,1,16,281.81413654303424
292,50,0,3,252.3197909905583
342,70,0,7,319.299162379603
137,42,4,3,160.44956183343095
120,36,3,18,152.48105187847236
138,65,3,17,232.60080807385634
446,96,1,1,443.93227564834757
364,70,6,18,357.90289467432893
243,95,5,17,345.8565189346841
89,1,5,20,93.61526547071111
137,51,0,2,171.1435054718062
224,37,0,5,178.6982022190036
138,35,1,5,147.08515245752216
387,49,2,12,321.62790681374986
215,94,0,12,312.3259778082163
75,4,6,21,100.08508257206961
383,99,3,2,394.73322868748573
122,43,6,15,193.00111072119162
315,78,5,21,345.196928509092
454,22,1,7,286.5869793696936
165,74,1,7,245.418958857282
293,1,6,11,174.47567605525248
247,11,4,22,166.51971300449867
385,44,0,17,287.06955174475877
481,59,5,6,363.6491346858673
498,24,0,7,291.44705933472267
388,60,3,18,357.7184022738359
149,3,2,11,79.1780987675239
227,99,3,19,353.7995339364029
293,63,2,17,293.42834066814953
335,36,4,9,238.4444140832774
197,95,6,14,303.11794526551165
197,68,3,21,252.33612987182485
448,83,6,9,400.15323919667776
473,47,6,18,365.512809047934
338,21,5,0,213.76069556633468
499,82,5,9,431.2212125616726
315,51,3,11,275.1871349150787
235,28,0,17,205.92618051703968
177,15,3,9,130.86476482597388
82,42,0,0,133.1228996018435
81,59,4,22,183.28212210045302
252,66,2,16,280.72451213812576
294,37,6,10,253.95541713188925
201,11,3,4,137.75780510729896
213,87,5,20,319.7459879039921
420,44,5,3,298.56612602666837
233,12,4,19,169.82119251701013
78,3,0,8,62.69497523167912
340,52,2,14,281.4939285690543
178,81,3,23,272.24945701469437
178,33,3,0,126.88765580455964
470,55,1,19,389.89664815534576
103,1,5,8,43.189915410727934
439,39,3,7,321.8366776482738
88,20,6,23,121.41943720206511
294,47,4,13,276.16780968112175
323,43,5,17,274.46116418303217
385,57,5,20,331.7982402865139
438,61,3,23,378.096537436757
155,78,3,0,224.7562745049666
92,31,1,11,131.37841687945055
492,25,1,4,307.3723670669299
81,3,1,0,56.05539188845145
426,4,3,10,241.8648080063243
307,95,6,14,364.7512565060506
371,99,2,22,420.08094883206223
475,14,2,20,301.0140807161695
107,41,4,18,133.92139769846258
341,73,3,4,315.3342486223482
408,20,1,22,277.4872507150562
169,96,2,3,292.92723689539343
317,73,3,19,323.2438088106466
480,27,5,7,305.3132185534023
132,67,5,8,230.95128745958792
141,53,5,13,198.69748877925795
434,68,1,5,349.2710519693732
448,62,4,0,353.1956511448522
149,15,2,8,122.03166165633394
103,97,2,15,260.2308441084844
446,5,0,15,235.70651431990956
171,68,1,21,258.25383744020434
476,12,5,11,280.54666688151497
134,87,0,4,244.97283513483512
253,78,4,7,298.3938850112323
374,76,0,13,348.1984018903853
312,57,3,10,278.10255987827736
97,17,2,20,88.51434248088569
177,25,5,14,179.99496845302124
181,30,6,17,186.9173843613233
